Year,ID,Team,offRank,defRank,offRating,tempo,fgEff,ftRate,wab,threepg,ftpg,pDiffpg
2008,1110,American Univ,102,218,107.9,60.4,52.4383,41.3553,-5.8,7.84375,14.9375,3.3125
2008,1112,Arizona,12,63,116.4,63.5,53.8619,40.433,1.5,6.59375,15.53125,4.78125
2008,1116,Arkansas,53,48,111.4,66.5,51.949,37.8811,0.5,5.878787878787879,14.303030303030303,6.606060606060606
2008,1122,Austin Peay,159,195,104.6,65.5,51.7214,44.3923,-5.3,7.852941176470588,17.441176470588236,3.911764705882353
2008,1124,Baylor,19,113,115.7,70.1,51.9301,35.8894,1.5,8.433333333333334,16.5,6.266666666666667
2008,1125,Belmont,71,216,109.7,68.6,53.2154,33.7986,-3.5,10.46875,14.46875,5.03125
2008,1129,Boise St,84,191,108.7,70.7,57.1353,39.7463,-2.4,8.125,15.40625,5.125
2008,1139,Butler,14,47,116.2,59.5,54.1064,36.7264,4.7,9.21875,13.6875,10.59375
2008,1140,BYU,112,12,107.4,67.8,53.2504,37.4302,2.5,8.176470588235293,14.0,10.941176470588236
2008,1155,Clemson,35,15,114.0,68.0,51.9122,30.6421,4.4,8.0,12.1875,9.6875
2008,1163,Connecticut,22,49,115.2,67.1,50.6383,48.1383,4.3,5.15625,19.875,9.09375
2008,1164,Coppin St,321,230,92.4,62.9,43.4534,36.6067,-13.0,4.088235294117647,13.882352941176471,-6.970588235294118
2008,1165,Cornell,69,206,110.1,67.9,55.3702,33.7558,-1.2,7.923076923076923,14.461538461538462,7.615384615384615
2008,1168,CS Fullerton,45,176,112.3,71.6,54.1625,32.347,-3.2,8.612903225806452,14.387096774193548,9.580645161290322
2008,1172,Davidson,9,24,117.0,66.2,54.0816,26.2933,1.5,8.774193548387096,11.258064516129032,14.193548387096774
2008,1179,Drake,4,76,120.0,62.9,52.6254,35.1809,5.2,9.133333333333333,14.4,11.233333333333333
2008,1181,Duke,13,7,116.3,71.5,53.6211,40.8633,8.9,9.28125,17.34375,14.8125
2008,1206,George Mason,58,117,110.7,61.6,52.2778,39.7638,-3.6,6.121212121212121,14.787878787878787,7.575757575757576
2008,1207,Georgetown,21,6,115.2,60.5,56.8025,34.1561,7.7,7.84375,11.6875,11.75
2008,1208,Georgia,166,45,104.3,64.7,47.8261,31.8491,-3.9,5.96875,12.78125,0.90625
