Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WOffRating,LOffRating,WTempo,LTempo,WfgEff,LfgEff,WftRate,LftRate,Wwab,Lwab,Wtalent,Ltalent,Wsos,Lsos,WThreepg,LThreepg,WFTPG,LFTPG,WPDiffPG,LPDiffPG,WOffRank,LOffRank,WDefRank,LDefRank
2008,134,1291,69,1164,60,N,0,99.3,92.4,66.1,62.9,49.7845,43.4534,38.6853,36.6067,-9.5,-13.0,7.293,4.12,9.636,16.141,6.0,4.088235294117647,14.625,13.882352941176471,2.5625,-6.970588235294118,233.0,321.0,106.0,230.0
2008,136,1181,71,1125,70,N,0,116.3,109.7,71.5,68.6,53.6211,53.2154,40.8633,33.7986,8.9,-3.5,95.074,12.009,34.065,9.728,9.28125,10.46875,17.34375,14.46875,14.8125,5.03125,13.0,71.0,7.0,216.0
2008,136,1242,85,1340,61,N,0,120.9,108.6,66.8,66.3,56.5912,54.8673,36.3515,37.2271,9.9,-3.4,89.633,1.355,30.29,13.96,6.787878787878788,9.033333333333333,15.484848484848484,13.8,19.515151515151516,5.766666666666667,2.0,87.0,1.0,161.0
2008,136,1243,80,1425,67,N,0,114.2,110.5,69.7,65.2,49.5248,53.3333,37.3687,38.655,1.0,3.6,40.016,65.854,31.318,36.782,6.633333333333334,5.5625,16.333333333333332,13.5625,9.8,5.875,34.0,59.0,40.0,13.0
2008,136,1266,74,1246,66,N,0,115.3,107.8,66.6,62.4,50.5929,52.7458,37.5494,41.1239,3.8,-1.1,55.941,77.136,31.819,27.594,7.15625,5.8,15.75,15.333333333333334,11.59375,3.2666666666666666,20.0,104.0,21.0,67.0
2008,136,1277,72,1396,61,N,0,115.8,112.8,63.3,63.6,52.5291,54.1279,33.4345,35.2652,5.1,-1.7,87.079,21.698,31.132,22.398,4.96969696969697,7.878787878787879,13.666666666666666,14.06060606060606,9.303030303030303,4.03030303030303,17.0,41.0,33.0,102.0
2008,136,1323,68,1206,50,N,0,114.6,110.7,69.5,61.6,52.1588,52.2778,34.0943,39.7638,4.4,-3.6,80.171,13.842,28.578,13.265,8.451612903225806,6.121212121212121,15.709677419354838,14.787878787878787,10.096774193548388,7.575757575757576,26.0,58.0,43.0,117.0
2008,136,1338,82,1331,63,N,0,116.5,104.7,63.9,63.6,50.7645,49.8557,36.1204,40.6232,5.3,-0.9,65.161,1.838,33.073,16.644,6.142857142857143,6.612903225806452,13.82857142857143,14.838709677419354,8.942857142857143,7.387096774193548,10.0,153.0,54.0,31.0
2008,136,1345,90,1124,79,N,0,110.5,115.7,66.9,70.1,48.9211,51.9301,37.1053,35.8894,3.8,1.5,66.368,52.034,28.915,29.784,7.375,8.433333333333334,14.65625,16.5,7.53125,6.266666666666667,60.0,19.0,16.0,113.0
2008,136,1390,77,1165,53,N,0,113.6,110.1,63.4,67.9,49.8257,55.3702,39.5916,33.7558,6.7,-1.2,64.912,1.326,33.063,10.553,5.393939393939394,7.923076923076923,15.575757575757576,14.461538461538462,10.06060606060606,7.615384615384615,36.0,69.0,10.0,206.0
2008,136,1401,67,1140,62,N,0,112.3,107.4,61.8,67.8,51.9312,53.2504,41.746,37.4302,3.1,2.5,61.214,34.988,31.167,21.025,5.848484848484849,8.176470588235293,14.787878787878787,14.0,9.181818181818182,10.941176470588236,46.0,112.0,17.0,12.0
2008,136,1417,70,1290,29,N,0,118.0,91.9,64.1,63.0,52.1729,43.368,37.2697,40.2812,10.8,-10.0,78.469,0.2,32.362,12.999,5.303030303030303,4.6,15.636363636363637,14.633333333333333,14.393939393939394,-4.6,7.0,323.0,5.0,236.0
2008,136,1424,71,1245,58,N,0,,,,,,,,,,,,,,,,,,,,,,,,
2008,136,1450,71,1457,40,N,0,115.1,99.5,58.3,61.6,53.6671,49.5909,38.475,35.6517,4.9,-4.2,24.685,4.133,31.951,15.705,6.375,6.354838709677419,14.1875,11.612903225806452,10.0,6.290322580645161,23.0,232.0,9.0,20.0
2008,136,1452,75,1112,65,N,0,114.6,116.4,63.8,63.5,51.3796,53.8619,36.5842,40.433,2.6,1.5,46.742,85.102,29.445,39.295,7.2727272727272725,6.59375,14.636363636363637,15.53125,11.424242424242424,4.78125,27.0,12.0,23.0,63.0
2008,136,1458,71,1168,56,N,0,113.5,112.3,61.1,71.6,50.6146,54.1625,39.9252,32.347,8.3,-3.2,82.1,11.126,28.584,10.504,5.818181818181818,8.612903225806452,14.545454545454545,14.387096774193548,13.575757575757576,9.580645161290322,37.0,45.0,3.0,176.0
2008,136,1462,73,1208,61,N,0,117.3,104.3,63.8,64.7,54.5869,47.8261,42.372,31.8491,4.7,-3.9,13.33,57.893,23.372,28.873,7.757575757575758,5.96875,16.666666666666668,12.78125,13.0,0.90625,8.0,166.0,39.0,45.0
2008,137,1116,86,1231,72,N,0,111.4,114.6,66.5,66.2,51.949,52.3429,37.8811,41.8964,0.5,4.8,59.525,52.71,25.901,27.986,5.878787878787879,6.59375,14.303030303030303,17.84375,6.606060606060606,10.4375,53.0,29.0,48.0,44.0
2008,137,1139,81,1375,61,N,0,116.2,112.6,59.5,64.8,54.1064,53.8945,36.7264,46.0156,4.7,-0.3,11.348,21.566,16.476,13.287,9.21875,6.67741935483871,13.6875,17.70967741935484,10.59375,9.935483870967742,14.0,42.0,47.0,111.0
2008,137,1172,82,1211,76,N,0,117.0,114.5,66.2,65.9,54.0816,54.4565,26.2933,39.6739,1.5,2.1,18.502,73.8,17.709,21.566,8.774193548387096,6.5,11.258064516129032,16.0,14.193548387096774,13.25,9.0,30.0,24.0,41.0
2008,137,1207,66,1420,47,N,0,115.2,113.2,60.5,63.7,56.8025,51.3956,34.1561,33.4407,7.7,-3.0,71.165,10.4,30.985,11.398,7.84375,7.32258064516129,11.6875,14.387096774193548,11.75,5.354838709677419,21.0,39.0,6.0,282.0
2008,137,1257,79,1129,61,N,0,113.1,108.7,65.3,70.7,53.1079,57.1353,36.4992,39.7463,4.7,-2.4,83.94,1.289,30.593,11.798,7.53125,8.125,13.40625,15.40625,10.59375,5.125,40.0,84.0,4.0,191.0
2008,137,1272,87,1426,63,N,0,118.0,101.3,68.1,68.6,52.7517,52.3087,40.3995,41.3662,8.9,-7.0,82.995,8.575,20.888,9.423,7.9411764705882355,5.928571428571429,14.205882352941176,15.285714285714286,19.058823529411764,2.5357142857142856,6.0,202.0,2.0,170.0
2008,137,1274,78,1388,64,N,0,112.5,109.2,65.8,66.4,49.1872,52.4902,39.119,39.3397,1.6,1.2,42.138,18.126,28.829,17.599,6.774193548387097,7.866666666666666,16.967741935483872,15.033333333333333,5.774193548387097,12.433333333333334,44.0,76.0,61.0,32.0
2008,137,1280,76,1332,69,N,0,108.2,118.8,66.6,65.8,52.1592,55.7886,38.9698,36.689,0.6,0.8,69.445,72.871,23.951,35.62,6.96875,8.709677419354838,13.9375,14.161290322580646,8.03125,4.387096774193548,92.0,5.0,11.0,160.0
2008,137,1314,113,1291,74,N,0,122.1,99.3,72.5,66.1,52.9641,49.7845,38.0265,38.6853,11.9,-9.5,90.906,7.293,31.561,9.636,5.529411764705882,6.0,19.470588235294116,14.625,15.970588235294118,2.5625,1.0,233.0,14.0,106.0
2008,137,1328,72,1386,64,N,0,109.5,115.1,63.1,64.0,50.0532,54.5833,38.7234,39.7222,2.8,-1.2,63.704,34.745,33.332,23.976,6.333333333333333,7.303030303030303,14.090909090909092,15.424242424242424,5.03030303030303,6.0606060606060606,74.0,25.0,37.0,110.0
2008,137,1360,70,1163,69,N,1,101.6,115.2,63.0,67.1,49.1953,50.6383,35.5687,48.1383,-3.9,4.3,3.734,85.537,20.325,29.747,4.848484848484849,5.15625,12.818181818181818,19.875,2.0,9.09375,198.0,22.0,59.0,49.0
2008,137,1373,83,1435,62,N,0,108.6,112.3,67.6,68.2,50.9237,54.1103,36.5581,38.3459,-3.8,3.8,10.689,63.746,13.952,23.876,7.0,9.06060606060606,14.6875,16.78787878787879,5.75,6.212121212121212,86.0,47.0,107.0,88.0
2008,137,1397,72,1110,57,N,0,116.2,107.9,70.7,60.4,52.3712,52.4383,38.0301,41.3553,9.2,-5.8,57.614,10.824,31.749,11.469,9.03125,7.84375,15.3125,14.9375,11.53125,3.3125,15.0,102.0,28.0,218.0
2008,137,1400,74,1122,54,N,0,120.6,104.6,63.9,65.5,51.4646,51.7214,31.9513,44.3923,8.4,-5.3,81.767,9.068,34.791,9.97,7.7272727272727275,7.852941176470588,13.424242424242424,17.441176470588236,9.93939393939394,3.911764705882353,3.0,159.0,42.0,195.0
2008,137,1437,75,1155,69,N,0,109.2,114.0,68.1,68.0,49.1307,51.9122,38.8972,30.6421,0.3,4.4,61.386,48.799,29.494,32.707,7.0625,8.0,16.09375,12.1875,3.53125,9.6875,75.0,35.0,35.0,15.0
2008,137,1443,101,1179,99,N,1,,,,,,,,,,,,,,,,,,,,,,,,
2008,138,1242,75,1424,56,N,0,120.9,110.2,66.8,63.9,56.5912,48.4683,36.3515,33.0218,9.9,2.2,89.633,18.883,30.29,20.716,6.787878787878788,7.5625,15.484848484848484,13.8125,19.515151515151516,7.3125,2.0,67.0,1.0,51.0
2008,138,1277,65,1338,54,N,0,115.8,116.5,63.3,63.9,52.5291,50.7645,33.4345,36.1204,5.1,5.3,87.079,65.161,31.132,33.073,4.96969696969697,6.142857142857143,13.666666666666666,13.82857142857143,9.303030303030303,8.942857142857143,17.0,10.0,33.0,54.0
2008,138,1390,82,1266,81,N,1,113.6,115.3,63.4,66.6,49.8257,50.5929,39.5916,37.5494,6.7,3.8,64.912,55.941,33.063,31.819,5.393939393939394,7.15625,15.575757575757576,15.75,10.06060606060606,11.59375,36.0,20.0,10.0,21.0
2008,138,1417,51,1401,49,N,0,118.0,112.3,64.1,61.8,52.1729,51.9312,37.2697,41.746,10.8,3.1,78.469,61.214,32.362,31.167,5.303030303030303,5.848484848484849,15.636363636363637,14.787878787878787,14.393939393939394,9.181818181818182,7.0,46.0,5.0,17.0
2008,138,1450,61,1323,41,N,0,115.1,114.6,58.3,69.5,53.6671,52.1588,38.475,34.0943,4.9,4.4,24.685,80.171,31.951,28.578,6.375,8.451612903225806,14.1875,15.709677419354838,10.0,10.096774193548388,23.0,26.0,9.0,43.0
2008,138,1452,73,1181,67,N,0,114.6,116.3,63.8,71.5,51.3796,53.6211,36.5842,40.8633,2.6,8.9,46.742,95.074,29.445,34.065,7.2727272727272725,9.28125,14.636363636363637,17.34375,11.424242424242424,14.8125,27.0,13.0,23.0,7.0
2008,138,1458,72,1243,55,N,0,113.5,114.2,61.1,69.7,50.6146,49.5248,39.9252,37.3687,8.3,1.0,82.1,40.016,28.584,31.318,5.818181818181818,6.633333333333334,14.545454545454545,16.333333333333332,13.575757575757576,9.8,37.0,34.0,3.0,40.0
2008,138,1462,85,1345,78,N,0,117.3,110.5,63.8,66.9,54.5869,48.9211,42.372,37.1053,4.7,3.8,13.33,66.368,23.372,28.915,7.757575757575758,7.375,16.666666666666668,14.65625,13.0,7.53125,8.0,60.0,39.0,16.0
2008,139,1172,74,1207,70,N,0,117.0,115.2,66.2,60.5,54.0816,56.8025,26.2933,34.1561,1.5,7.7,18.502,71.165,17.709,30.985,8.774193548387096,7.84375,11.258064516129032,11.6875,14.193548387096774,11.75,9.0,21.0,24.0,6.0
